Rut;Nombre;Direccion;Direccion2;Ciudad;Pais;Contacto;Contacto2;Fax;Telefono
09211894-0;Oscar Miguel Ramonada Figueroa;Carlos Silva Vildosola 1226. dpto. 11;;Providencia;Chile;;;;
09527023-9;MARCELO ANDRES HOLLSTEIN BACHMANN;PELLUCO ALTO S/N;;PUERTO MONTT;Chile;;;;552263455
09567800-9;DANIEL JARA VASQUEZ;Pasaje Las Haciendas 980 - Villa Los Naranjos;;Chillan;Chile;Daniel;;;
09648231-0;MARIO INOSTROZA BUCKRENICK;ENRIQUE OLIVARES 1448 LOCAL 12;;LA FLORIDA;Chile;;;;
09676783-8;Agencia Ana Maria Muñoz;BARROS LUCO 1613 PISO 4  OF 402 SAN ANTONIO;;San Antonio;Chile;;;;
09695755-6;Francisco Farías Ibañez;Lo Olmedo s/n;;Curicó;Chile;Fabián;;;
09880215-0;Javiera Perez Escalante;Av. General José Artigas 2835 depto 408;;Ñuñoa;Chile;Javiera;;;
09998903-3;LUIS EDUARDO VILLARROEL MANSILLA;PASAJE CHINQUIHUE 177;;PUERTO MONTT;Chile;GONZALO SOTO;;;
10019716-2;Gonzalo Norambuena Villugron;;;;Chile;;;;
10102216-1;Edda Romina Greco Barrera;Quilvo Alto s/n - Parcela 4;;Romeral;Chile;Mauricio Tapia Riveros;;;73879909
10112906-3;Andrea Zúñiga;casilla 180;;;Chile;Andrea Zúñiga;;;99695771
10154259-9;Claudio Villouta;Km. 204 Ruta 5 Sur Molina;;Molina;Chile;;;;569 81592406
10195338-6;LUIS MORA PRADENAS;Las Heras 430;;CONCEPCION;Chile;Luis Mora Pradenas;;;56 991289962
10234762-5;Carmen Loreto Prado Hermosilla;Camino Las Hualtatas 4591;;Lo Barnechea;Chile;;;;
10235695-0;MANUEL FRANCISCO AGUAYO DAVILA;CAMINO CRISANTEMOS N° 16536 COMUNA SAN BERNARDO;;San Bernardo;Chile;;;;2-2454625
10331889-0;LUZ MARIA SOTOMAYOR PUELMA;IGNACIO CARRERA PINTO 220;;CURACAVÍ;Chile;;;;
10359368-9;PEDRO ENRIQUE ULLOA SANCHEZ;SECTOR RURAL CURAMO S/N;;Santiago;Chile;;;;
10513831-8;MARTA ANGELA PACHECO VARGAS;Capitan Gallardo 055 Pobl. Corvi;;Puerto Varas;Chile;Marta;;;
10542893-6;Rosa Castillo Figueroa;Lía Aguirre 412 casa 17;;La Florida;Chile;Antonio Oyarzún;;;2 2 94  8378
10777181-6;SOFIA ELENA TENORIO OYARZO;FARO PUNTA CORONA 982, ALTOS DE TENGLO;;;Chile;;;;
10896841-9;JUAN CARLOS ALVAROD;Isla de Capri Nº 1817 Parque Cardonal;;PUERTO MONTT;Chile;JUAN;;;
10901425-7;Elsa Vargas;Los Claveles 3580;;Puente Alto;Chile;;;;569 7600807
10958207-7;ALMONACID LUIS;PEDRO FELIX OYARZUN 401;;CALBUCO;Chile;;;;
10994101-8;DIEGO RAFAEL FLORES CÁRDENAS;Prat 111 of.313;;CURICO;Chile;Diego Flores;;;09 68347599
10995696-1;Karen Matamala;Huinan 90;;Maipu;Chile;Karen Matamala;;;8-4321069
11247793-4;DALMIRO ANTONIO VARGAS UNION;Las Gallinetas 4494 portal del sol 2;;Valdivia;Chile;;;;79288584
11250761-2;VERONICA PLARRE MARTENS;DR. GIESSLER 698;;;Chile;;;;
11311700-1;JOSE PIÑA;AVENIDA ESTADOS UNIDOS 1255;;CERRO NAVIA;Chile;;;;
11340533-3;Paola Farías Gonzalez;Ernesto Pinto Lagarrigue 127;;Recoleta;Chile;Paola Farías;;;232058997
11352393-K;YURI ARMANDO RIFFO ORTEGA;Martínez de Rozas #597;;Concepcion;Chile;;;;
11414810-5;CLAUDIO FERNANDO MIRANDA PEREZ;AGUSTIN GOMEZ GARCIA 05;;QUELLON;Chile;;;;
11477671-8;Pablo A. Castillo del Valle;General Juan Antonio Lavalleja 2574;;Vitacura;Chile;Pablo Castillo;;;56978065254
11480835-0;Patricia Villarreal;Visviri 1320, dpto 71;;Las Condes;Chile;Patricia Villarroel;;;
11779707-4;Loida Mercado Godoy;Martín Alonqueo N° 1983 depto E;;Padre las Casas;Chile;Loida Mercado Godoy;;;045-2332292
11847647-6;Claudio Arnoldo Aravena Pinochet;Los Duraznos 0654, La Pintana;;La Pintana;Chile;Silvia;;;
11889614-9;CLAUDIO MIRANDA MORI;La Comuna 5253;;Lo Prado;Chile;;;;
11929181-K;MARCELA BAHAMONDE GALLARDO;QUICAVI RURAL S/N;;Santiago;Chile;;;;
12257400-8;Andes Organics;Bustos 2166;;Providencia;Chile;Aldo;;;
12344418-3;MARIA GROCELIA NAVARRO HERNANDEZ;CERRO HURON 1836 VILLA SENDEROS DE ALERCE;;PUERTO MONTT;Chile;MARIA NAVARRO HERNANDEZ;;;
12361093-8;Claudio Cárdenas;Parcela N°32-Proyecto Milahue Bulnes;;;Chile;;;;56 9 79983791
12537636-3;Rodrigo Sánchez Luck;Benavente 550 of 8A;;Puerto Montt;Chile;;;;
12681802-5;HUGO ARNALDO ABURTO POBLETE;LAS NACIONES 568;;MAIPU;Chile;;;;
12932641-7;MIGUEL ANGEL CABRERA VILCHES;EL CHAGUAL 4939 VALLE VOLCANES;;Santiago;Chile;;;POR E-MAIL;65-970026
12934578-0;RAMON HERIBERTO SUBIABRE ELGUETA;FARO CABO RAPER 1211;;PUERTO MONTT;Chile;;;;
13047526-4;Carolina Labbé Jeria;Av. Portugal 38, departamento 186, torre 5;;Santiago;Chile;Carolina;;;56982086404
13122056-1;JOSE LUIS OSORIO BUSTAMANTE;JOSE MIGUEL CARRERA N° 228;;PUERTO MONTT;Chile;JOSE LUIS;;;
13154570-3;Ricardo Eduardo García Solís;Luis Zegers 133;;Las Condes;Chile;Ricardo;;;
13238054-6;Vegania Slowfood;Los Refugios 17590;;Lo Barnechea;Chile;Consuelo Hermosilla;;;64837494
13244584-2;CLAUDIO A. QUEZADA MALDONADO;Volcan Villarrica 980;;PUERTO MONTT;Chile;CLAUDIO;;;
13424381-3;Makarena Alejandra Aguirre Ambler;Pasaje el Sol #249;;;Chile;Makarena Alejandra Aguirre Ambler;;;81939339
13824858-5;LUIS ARTURO VELASQUEZ SANCHEZ;PJE. ALDEBARRAN 2286 ALTOS DEL TEPUAL;;PUERTO MONTT;Chile;;;;65-2711723
14302034-7;MARCELO ANDRES ORELLANA MEZA;PASAJE 1 CASA 930 ALERCE HISTORICO;;PUERTO MONTT;Chile;MARCELO ORELLANA;;;
14621681-1;Ingnacio Moreno Villoslada;Independencia 641;;Valdivia;Chile;Carlos Morales H.;;;63-293521
14703231-5;CAROLINA PACHECO GLEN;GENERAL CAROL URZÚA 7039, DEPTO 506C;;Las Condes;Chile;;;;
14908374-K;Lorena Sandoval G.;Parque Nativo 101;;Los Ángeles;Chile;;;;
15290835-0;MIGUEL ANGEL VILLARROEL CHIGUAY;SECTOR OQUELDAN S/N;;Santiago;Chile;;;;
15299888-0;ALEXIS RODRIGO GARCIA OYARZUN;TENIENTE MERINO #6;;Santiago;Chile;;;POR CORREO;65-262520
15325200-9;Valeria Profaizer;Cristobal Colon 3366 Dpto 1703;;Las Condes;Chile;Valeria Profaizer;;;
15358947-K;Maria de los Angeles Sotomayor;José Zapiola 7795 casa G;;La Reina;Chile;Maria;;;57973065506
15362997-8;ComercialLIZADORA;Alonso de Córdoba 5255 Depto 135;;Las Condes;Chile;Ariel Dujovne;;;
15737359-5;Pamela Herbager;Tabunco 1499;;La Florida;Chile;Rosa;;;569 94998820
16012139-4;LORETO SANCHEZ C.;LAS HERAS #1140 DEPTO 12;;CONCEPCION;Chile;LORETO;;;61938637
16240851-8;JOHNNY MAURICIO NAVARRO MORALES;LOS MAITENES N°246;;PUERTO MONTT;Chile;;;;
16489691-9;Diego Anguita Ossa;Reyes Lavalle 3191 -Dpto 24 Las Condes;;;Chile;Diego Anguita;;;56 9 61200313
16507222-7;JAVIER ANTONIO MORALES MIRANDA;MAR MEDITERRANEO #5120;;PUERTO MONTT;Chile;JAVIER ANTONIO MORALES MIRANDA;;;
16575843-9;Paulo González;Las Pataguas 1390;;Concón;Chile;;;;
16583967-6;Matías  Felipe Vera Gaedicke;Carratera Austral Km 10.5  Chamiza;;;Chile;Matias Veras;;;76497413
16783353-5;Paula Nuñez Carrasco;Barros Arana 971, Local 4;;Concepción;Chile;Rodrigo Castro;;;412224534
16905944-6;Diego Andrés Martinez Tenorio;Faro Punta Corona 982;;;Chile;Luis Martinez;;;569 98262955
16947321-8;DANIELA PAZ CARVAJAL ROJAS;Av. Alcalde Eduardo Castillo Velasco 3100, Depto 107;;Ñuñoa;Chile;Daniela Carvajal;;;94407269
17555905-1;Constanza Campaña;General Cruz 34;;Valparaiso UCV;Chile;Constanza Campaña;;;32 2273819
17914025-K;CAMILA ARLET SANCHEZ GAEZ;AVENIDA DIEGO DE ALMAGRO 1627;;PUERTO MONTT;Chile;CAMILA SANCHEZ;;;
17914025-K;CAMILA ARLET SANCHEZ GAEZ;AVENIDA DIEGO DE ALMAGRO 1627;;PUERTO MONTT;Chile;CRISTOBAL LAGOS;;;
18307877-1;Gabriel Jerez Ubilla;Reina Victoria 6581 Casa B;;La Reina;Chile;;;;
18912191-1;Romina Rivera;Guillermo Mann 2533;;ÑuÑoa;Chile;Romina Rivera;;;82133811
62000205-4;SAPORITI    NO OCUPAR;BARTOLOME MITRE 2954-56-C-1039A AL-B.AIR;;Santiago;Argentina;;;;211961
20312237-3;YULISSA ESPERANZA RUIZ VERA;;;;Chile;;;;
24351024-4;Rocío Gómez Zalazar;Exequiel Fernández 1624-92;;Ñuñoa;Chile;;;;
25394527-3;Daniel Andres Palacios Badel;Edmundo Larenas 129. Dpto.Polímeros. Facultad de Cs.Química. Universidad de Concepción 1er piso;;Concepción;Chile;;;;966035169
25516881-9;Hanmerlyn Nick Inostroza Campos;Walker Martínez  #1612 - Dpto. 21 - B;;La Florida;Chile;KAREN;;;56965407430
31000000-0;Clientes Mercado Nacional;;;;Chile;;;;
32000000-9;Cliente de L.América;;;;.;;;;
32000200-1;(INACTIVO) DANONE ARGENTINA S.A.;Moreno 877 piso 14;;;Argentina;Venessa Frogone;;;0054 11 4341 4226
32000201-K;Colgate Palmolive Argentina S.A.;Av.Antartida Argentina 2269 Llavallol;;Buenos Aires;Argentina;;;;4239-8200
32000202-8;MONDELEZ ARGENTINA S.A.;Av.Henry Ford 3200, B1610BKW;;Ricardo Rojas;Argentina;;;;
32000203-6;SAPORITI S.A.;BARTOLOME MITRE 2364-66 1039;;BUENOS AIRES;Argentina;;;;
32000204-4;Mathiesen Argentina S.A.;Av Larrazabal 1648/52;;Capital Federal;Argentina;Federico Valobra;;54 11 4635 4420;54 11 4635 1417
32000205-2;José Alves Freire;Aguero N°78 Almagro Capital Federal Argentina;;Argentina;Chile;;;;
32000206-0;DANONE ARGENTINA S.A.;Moreno 877 piso 14;;Buenos Aires;Argentina;Venessa Frogone;;;0054 11 4341 4226
32000207-9;Biotec S.A.;Lavalle 1125 Piso 11 (1048) Buenos Aires;;Buenos Aires;Argentina;;;;4382-8332
32000208-7;Granotec Argentina S.A.;Einstein 739, (1619);;Buenos Aires;Argentina;;;;+54 (03327) 44 44 15
32000600-7;INDUSTRIAS VENADO S.A.;Calle teniente oquendo Nº 103;;La Paz;Bolivia;Ing. Eduardo Rocha Cabrera;;;591 2 2280600
32000601-5;COMPAÑIA DE ALIMENTOS LTDA.;AV. MARIO MERCADO No.100, Zoma Llojeta La Paz- Bolivia NIT 1020493029;;La Paz;Bolivia;MARIANA STRELLI / NOEMY QUISPE;;;(591) 22831111
32000602-3;MAPRIAL S.R.L.;NATANIEL AGUIRRE Nº 645;;COCHABAMBA;Bolivia;;;;4504000
32000603-1;Importacion y dist alimentos;Km 11 Carretera Cotoca;;;Bolivia;;;;
32000604-K;MAYOREO Y DISTRIBUCION S.A.;AV. ROQUE AGUILERA N°3105- TERCER ANILLO INTERNO;;Andrés Ibañez;Bolivia;Jorge;;;591-3-3532516
32000605-8;INDUSTRIAS PACHECO SRL;Calle Curva Nro 8021 BARRIO PAQUIO UV:100A MZA:22;;Santa Cruz;Bolivia;Alvaro;;;59 1 3 3494313
32000606-6;Laboratorios IFA S.A.;Avenida Beni, calle Achachairú n° 19, edificio Laboratorios IFA. entre 2do y 3er anillo;;;Bolivia;Verónica;;;591-3-3437446
32000607-4;VEMASSA ALIMENTOS Y BEBIDAS S.A.;Carretera a Viacha Esq Calle 12 Marzo n° 1944 Zona el Alto;;Zona el Alto;Bolivia;Daniela;;;
32000607-4;VEMASSA ALIMENTOS Y BEBIDAS S.A.;Carretera a Viacha Esq Calle 12 Marzo n° 1944 Zona el Alto;;Zona el Alto;Bolivia;Jorge;;;
32000608-2;PIL ANDINA S.A.;AV. BLANCO GALINDO KM 10 1/2;;COCHABAMBA;Bolivia;Karina;;;59144260168
32000609-0;Industrias Alimenticias Real Ltda;Cochabamba, Av. Reducto, Calle Prolongacion Dias Calle, Pasaje Innominada, S/N;;Cochabamba;Bolivia;ARMANDO;;;
32000701-1;COLGATE-PALMOLIVE INDUSTRIAL LTDA.;SAO BERNARDO DO CAMPO, SP RODOVIA ANCHIETA, KM 14, RUDGE RAMOS;;RUDGE RAMOS;Brazil;;;;
32000702-K;DUAS RODAS INDUSTRIAL S.A.;RUA RODOLFO HUFENUSSLER, 755 CAIXA;;CEP 89251-901;Brazil;;;;55 47 2372 9000
32000703-8;OXIQUIM QUIMICA LTDA;RUA PORFIRIO HERDEIRO 58 TABOAO DA SERRA;;;Brazil;;;;55 11 55369577
32000704-6;BRF S.A.;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;;PARANAGUA-PARANÁ;Brazil;;;;2117 8598
32000705-4;VOGLER INGREDIENTS LTDA;EST.PARTICULAR FUKUTARO YIDA,1173-SAO;;SAO PAULO;Brazil;;;;55 11 4393 4400
32000706-2;Tate & Lyle Gemacom Tech Industria e comercio S/A;Rua Bruno Simili 380, Distrito industrial Juiz de Foras, Minas Gerais  (CP 36092-050);;Minas Gerais;Brazil;Leandro Batista;;;55 32 32497616
32000707-0;Kienast E Kratschmer Ltda;Avenida Industrial, 3331. Barrio: Campestre;;Santo André (SP);Brazil;Silmara;;;55 11 4428-7111
32000708-9;DOREMUS ALIMENTOS LTDA.;Rua Santa Maria do Pará, 32 - Bonsucesso Guarulhos - 07175-400 CNPJ: 54.289.830/0001-00;;Sao Paulo;Brazil;Rose;;;55 11 2436 3333
32000709-7;SEARA ALIMENTOS LTDA;DOURADOS - SUINOS/IND. - ROD BR 163, s/n - KM 06 -DOURADOS - MS IE: 282586547**;;DOURADOS;Brazil;Fabiana;;;
32000709-7;SEARA ALIMENTOS LTDA;DOURADOS - SUINOS/IND. - ROD BR 163, s/n - KM 06 -DOURADOS - MS IE: 282586547**;;DOURADOS;Brazil;Rafael Raoni;;;
32000710-0;Flor de Açaí Indústria, Comércio e Exportação de Polpas de Frutas LTDA;Rodovia PA-140, Km 03 - S/N (no number) - Santa Izabel do Pará/PA - Brazil;;Santa Izabel do Pará/PA;Brazil;Fabio;;;
32000800-K;CAPSCANADA CORPORATION;456 Silver Creek Industrial Drive Tecumseh,ON, N8N 4Y3 CAN;;Tecumseh;Canada;;;;519-727-4618 ext 132
32000801-8;Nex-xus Distribution Inc.;1155 Blvd. Rene-Levesque O. Suite 2500;;Montreal H3B 2K4;Canada;Karhem;;;+ 514 9851115
32000802-6;Parmalat Canadá INC;405 the west mall, 10th floor Toronto, Ontario m9c 5j1;;Ontario;Canada;;;;
32000803-4;Univar Canada Ltd.;9800 Van Horne way V6X 1W5 , Richmond , British Columbia;;Richmond;Canada;Charles;;;604-273-1441
32000804-2;QUADRA INGREDIENTS;1170 Invicta Drive, Oakville, Ontario  L6H 6G1;;Ontario;Canada;Dan;;;1 905-337-4257
32001001-2;ANDERCOL S.A.;CARRERA 64C NO. 95-84 MEDELLIN APARTADO / PO BOX 2065 COLOMBIA NIT 890.903.310-3;;;Colombia;;;;574 4700700
32001002-0;TATE $ LYLE;;;;Colombia;;;;
32001003-9;Duas Rodas Colombia S.A.S.;Carrera 48 C # 100 Sur 72 -La Estrella - Atioquia;;La Estrella;Colombia;Jannet Yepes;;574 333 52 34;574 448 14 12
32001004-7;Primecheese SAS;Cra 108 No 23B-51;;Bogotá;Colombia;Carlos;;;+ 57 316 452 7599
32001005-5;INPROQUIM S.A.S.;Carrera 50 No. 97 A sur 392, zona Industria Sierra Morena  La Estrella, Antioquia, Colombia;;Medellín;Colombia;;;;
32001006-3;Azelis COLOMBIA S.A.S.;Autopista Medellin Km 5,7 costado sur Bg 1, Tenjo,  NIT(Tax ID) 830.027.231.-3;;Tenjo;Colombia;;;;57 1 8966999
32001007-1;SABORES E INGREDIENTES SAPORITI DE COLOMBIA SAS;Calle 46 A SUR 49 89 - ENVIGADO;;ENVIGADO;Colombia;LUCIO;;;
32001101-9;PRIMA S.A.;200M. Este del Banco Nacional;;SAN JOSE DE COSTA RICA;Costa Rica;;;;
32001102-7;Productos Ujarrás S.A.;;;;Costa Rica;;;;
32001103-5;BALTIMORE SPICE C.A. S.A.;Pavas, del Liceo de Pavas 200 Oeste y 100 Norte P.O.Box 1035-1200, San José;;San José;Costa Rica;Juan Carlos Flores;;;
32001104-3;Cooperativa de Productores de Leche Dos Pinos R.L.;7 Km al oeste del Aeropuerto Internacional Juan Santa Maria a Provincia de Alajuela;;Alajuela;Costa Rica;;;;506 24373131
32001105-1;INDUSTRIA LOS PATITOS, S. A.;"En bodegas ""Santiago 525"", San Joaquín de Flores, Heredia. Costa Rica.  Centroamérica";;San Joaquín de Flores, Heredia;Costa Rica;Milagro;;;+506 2265-1486
32001106-K;Inversiones Koba-Auto S.A.;400N.Iglesia Católica, San Jerónimo, Esparza, Puntarenas, Costa Rica;;Esparza;Costa Rica;Reiko;;;
32001107-8;Aromazone CYP S.A.;300 metros al Norte de la Pepsi, Condominio Ofibodegas Barreal - Bodega N°26;;Ofibodegas Barreal;Costa Rica;David;;;
32001201-5;Empresa Mixta CORALAC S.A.;Carretera Monumental Km 23 1/2;;Municipio Cotorro, Provincia La Habana;Cuba;Ingrid;;;
32001201-5;Empresa Mixta CORALAC S.A.;Carretera Monumental Km 23 1/2;;Municipio Cotorro, Provincia La Habana;Cuba;Dayle;;;
32001202-3;CARGO LINES S.A.S.;1, Avenue Konrad Adenauer - CIT 59223 Roncq, France;;CIT 59223 Roncq;France;Felipe;;;
32001400-K;Imporfarma;;;;Ecuador;;;;
32001401-8;ADITMAQ ADITIVOS Y MAQUINARIAS S.A.S.;VICENTE DUQUE N73-85 Y JOSE DE LA REA, QUITO ECUADOR RUC 1791269489001;;Quito;Ecuador;;;;
32001402-6;BLENASTOR C.A.;Benjamin Carrión E9-194 y Alfredo Luna Tobar Lotización La Armenia / Valle de los Chillos;;QUITO;Ecuador;;;;
32001403-4;ITALIMENTOS CIA. LTDA.;AV. OCTAVIO CHACON MOSCOSO 4-103;;CUENCA;Ecuador;;;;
32001404-2;LEVAPAN DEL ECUADOR S.A.;AV. MALDONADO S28-35(SECTOR GUAJALO);;QUITO;Ecuador;;;;593-4-232426
32001405-0;Confites y Golosinas S.A.;KM. 5 VIA DURAN TAMBO BODEGAS CORRUCHECSA RUC 0992869925001;;GUAYAQUIL;Ecuador;Diego;;;
32001406-9;Folit S.A.;Km. 7.5 Vía Daule, Av. 11 y Callejón Segundo;;Guayaquil;Ecuador;Jaime;;;593-4 2258621
32001407-7;Indufelta S.A.;Lotización Inmaconsa Segunda Etapa MZ 33 Solares 20-21;;GUAYAQUIL/GUAYAS;Ecuador;Arturo;;;
32001408-5;FARBIOPHARMA S.A.;LOMAS DE LA CONCEPCION, CALLE GUAYAS E3-296 Y PICHINCHA;;;Ecuador;ELIZABETH;;;
32001408-5;FARBIOPHARMA S.A.;LOMAS DE LA CONCEPCION, CALLE GUAYAS E3-296 Y PICHINCHA;;;Ecuador;Elizabeth;;;
32001409-3;EMBUTIDOS DE CARNE DE LOS ANDES EMBUANDES CIA. LTDA.;CIRCUNVALACION SUR Y FELIPE II, ALTOS MALL DEL RIO, CUENCA;;Cuenca;Ecuador;Denis;;;593 992600225
32001501-4;DROGUERÍA HERMEL S.A. DE C.V.;C. SIERRA MADRE # 20, RES. MONTEBELLO;;;El Salvador;;;;
32001502-2;SABORES COSCO DE CENTROAMERICA SA DE CV;KM. 12,5 CARRETERA AL PUERTO DE LA LIBERTAD NUEVO CUSCATLAN EL SALVADOR CENTTRO AMERICA;;NUEVO CUSCATLAN;El Salvador;;;;503 228-9902
32001503-0;Empacadora Toledo;Bulevar del ejército nacional Kilómetro 7.5 soyapango;;;El Salvador;;;;
32001504-9;TECNISPICE S.A DE C.V. (EL SALVADOR );Km 11.5 Carretera Al Puerto de La Libertad , Parque Industrial El Progreso Bodega B, Santa Tecla;;La Libertad;El Salvador;JACQUELINE;;;50379257874
32001504-9;TECNISPICE S.A DE C.V. (EL SALVADOR );Km 11.5 Carretera Al Puerto de La Libertad , Parque Industrial El Progreso Bodega B, Santa Tecla;;La Libertad;El Salvador;VERONICA;;;50379257874
32001505-7;Aromazone El Salvador, S.A. de C.V.;Calle al Puerto de La Libertad, Zona Ind 01501, Santa Tecla, La Libertad;;La Libertad;El Salvador;Ligia;;;
32001900-1;Kerry Guatemala, S.A;Kilómetro 26.5 Carretera al Pacífico Paso a Desnivel Entrada a Amatitlán;;Amatitlán;Guatemala;;;+502 55288010;+502 66288000
32001901-K;UNIVERSAL QUIMICA S.A.;7º AV. 9-36 ZONA 2;;;Guatemala;;;;2254-1013
32001902-8;QUISERTEC;;;;Guatemala;;;;
32001903-6;Repca;14 Av. 7-12 zona 14. Bodega 8;;zona 14;Guatemala;Victor Manuel Escobar;;;502 24210334
32001904-4;Aromazone centroamerica sociedad anonima;CALZADA ATANASIO TZUL, 21-00, EL CORTIJO II BODEGA 512, ZONA 12, GUATEMALA;;CALZADA ATANASIO TZUL;Guatemala;David Gonzalo;;;
32001905-2;Biogeneris S.A.;6A. Calle A 29-79, zona 4, Colonia El Naranjo, Mixco, Guatemala;;Colonia El Naranjo, Mixco;Guatemala;Joselyn;;;
32002200-2;SMG COMERCIAL S.A.;33 Calle carretera hacia el Polvorin Pqe.Iindustrial los Delfines Bodega # 8  portón # 2;;San Pedro Sula;Honduras;Wiler;;;
32002600-8;Tecnoflavor Group S.A.;Costa del Este, Calle principal Edificio I Storage Panama´ Rep. de Panama´;;Costa de Este;Panama;Ricardo;;;
32002701-2;JCM IMPORT EXPORT S.A.;Cruz del Defensor 1614;;Asunción;Paraguay;Juan;;;56 521607373
32002801-9;GLORIA S.A.;AV.REPUBLICA DE PANAMA 2461;;;Peru;;;;511-3172500
32002802-7;INTRADEVCO INDUSTRIAL S.A.;AV. PRODUCCION NACIONAL 188 CHORRILLOS LIMA PERU RUC 20417378911;;LIMA;Peru;;;;
32002803-5;IFF PERÜ S.A.;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;;LIMA;Peru;;;;
32002804-3;INDUSTRIA DENTAL TOPWAX SAC;Av. Emancipacion 343 Int.119;;;Peru;;;;966530223
32002805-1;San-Ei Gen F.F.I. (PERU) S.A.;Calle Catalina Huanca 140;;San Isidro;Peru;;;;
32002806-K;Elaboraciones Elfa E.I.RL.;CAL. SIN NOMBRE MZA. C LOTE. 06 A.V. VILLA LAS FLORESDEL NORTE, LIMA. LIMA PUENTE PIEDRA;;Lima;Peru;Carlos;;;
32002807-8;NESTLE PERU S.A;CALLE LUIS GALVANI 493;;LIMA;Peru;MADELEINE;;;
