Tipo;Nro;Fecha;OC;RCO;Rut;Direccion;Direccion_alterna;Medio_envio;Job;Condicion_venta;Localizacion;Cod_Impto;Vendedor;Certificados;Puerto_Embarque;Nave;Puerto_Destino;Clausula;Factura;Fecha_factura
O;376;2013-2-20;GEL LA-09/13;;32001403-4C;AV. OCTAVIO CHACON MOSCOSO 4-103;CUENCA;;USD;60 días Fecha Factura;;IVA_EXE;13;;;;;CFR;272;2013-3-27
O;417;2013-2-25;GELY 02-13;;32001401-8C;VICENTE DUQUE N73-85 Y JOSE DE LA REA, QUITO ECUADOR RUC 1791269489001;Quito;;USD;90 días Fecha Factura;;IVA_EXE;13;;;;;CIF;194;2013-3-6
O;455;2013-2-27;GEL APR 1532;;36001905-5C;13 RUE DES ALOUETTES. 94320 THIAIS;THIAIS;;EUR;60 días Fecha Factura;;IVA_EXE;7;;;;;DDP;168;2013-2-27
O;458;2013-2-28;GEL APR 1536;;36001603-KC;Recinte Industrial Colonia Guell Edifici filatures planta 3,of. 9-D 08690 SANTA COLOMA DE CERVELLO;SANTA COLOMA DE CERVELLO;;EUR;30 días Fecha Factura;;IVA_EXE;6;;;;;FCA;171;2013-2-28
O;460;2013-3-1;GEL PO188/13;;35000803-9C;Room 1201, 12th Floor,Building 2,1126-LI-AN ROAD, Minhang District,SHANGHAI 201199;SHANGHAI 201199  USCC  913101126762546417;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;13;Análisis S. L.;;;;;304;2013-4-9
O;505;2013-3-8;GEL 028680;;36504501-1C;Unit 2, Galaxy Office Park, 17 Galaxy Ave Linbro Business Park;Sandton 2065;;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;;233;2013-3-19
O;3;2013-1-30;GEL 9090/0;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;FOB;87;2013-1-30
O;60;2012-12-31;GEL 27530;;35001204-4C;PAKNA-AN, MANDAUE CITY;PHILIPPINES, 6014;;USD;30 días Fecha Factura;;IVA_EXE;1;;;;;;;
O;61;2012-12-31;GEL 27534;;35000803-9C;Room 1201, 12th Floor,Building 2,1126-LI-AN ROAD, Minhang District,SHANGHAI 201199;SHANGHAI 201199  USCC  913101126762546417;;USD;90 días Fecha Factura;;IVA_EXE;13;;;;;;;
O;63;2012-12-31;GEL 27551;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;;USD;60 días Fecha Factura;;IVA_EXE;2;;;;;;;
O;68;2012-12-31;GEL 27607;;32000202-8C;Av.Henry Ford 3200, B1610BKW;Buenos Aires;;USD;30 días Fecha Factura;;IVA_EXE;2;;;;;;;
O;73;2012-12-31;GEL 27679;;32003502-3C;YAGUARON 1407 PISO 16;MONTEVIDEO;;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;;;
O;75;2012-12-31;GEL 27687;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;;USD;90 días Fecha Factura;;IVA_EXE;14;;;;;;;
O;77;2012-12-31;GEL 4502104188;;32000701-1C;SAO BERNARDO DO CAMPO, SP RODOVIA ANCHIETA, KM 14, RUDGE RAMOS;RUDGE RAMOS;;USD;45 días Fecha Factura;;IVA_EXE;1;;;;;CFR;181;2013-3-5
O;129;2013-1-28;GEL 1992/13  I EMB;;32001404-2C;AV. MALDONADO S28-35(SECTOR GUAJALO);QUITO;;USD;60 días Fecha Factura;;IVA_EXE;13;;;;;CFR;193;2013-3-6
O;136;2013-1-9;GEL 2734;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;;25;2013-1-9
O;247;2013-2-4;GEL 4502122392;;32000701-1C;SAO BERNARDO DO CAMPO, SP RODOVIA ANCHIETA, KM 14, RUDGE RAMOS;RUDGE RAMOS;;USD;45 días Fecha Factura;;IVA_EXE;1;;;;;CFR;273;2013-3-28
O;281;2013-2-11;GEL 130208;;34501606-6C;631 MOOSEHEAD TRAIL;WALDO;;USD;30 días Fecha Factura;;IVA_EXE;5;;;;;FOB;381;2013-4-29
O;284;2013-2-12;GEL P337881 / P338522;;32000202-8C;Av.Henry Ford 3200, B1610BKW;Buenos Aires;;USD;30 días Fecha Factura;;IVA_EXE;2;;;;;FOB;429;2013-5-23
O;341;2013-2-14;GEL IE 309I13/ PO 11293452;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;CPT;426;2013-5-20
O;369;2013-2-20;GEL 7100000111;;32000702-KC;RUA RODOLFO HUFENUSSLER, 755 CAIXA;CEP 89251-901;;USD;30 días Fecha Factura;;IVA_EXE;3;;;;;FCA;187;2013-3-5
O;385;2013-2-21;GEL IE 3065I12/ 11112159;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;CPT;173;2013-3-1
O;416;2013-2-25;GEL P157967-00;;32001101-9C;200M. Este del Banco Nacional;SAN JOSE DE COSTA RICA;;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;FOB;227;2013-3-12
O;442;2013-2-27;GEL 1534;;36003801-7C;Rua de Recarei, 860 Codigo Postal 4465-727;Portugal;;EUR;45 días Fecha Factura;;IVA_EXE;6;;;;;FCA;163;2013-2-27
O;456;2013-2-28;GEL PROFORMA 207;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;CIF;169;2013-2-28
O;457;2013-2-28;GEL PROFORMA 217;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;CIF;170;2013-2-28
O;10;2013-1-16;GEL IND 006/2012;;32002802-7C;AV. PRODUCCION NACIONAL 188 CHORRILLOS LIMA PERU RUC 20417378911;LIMA;;USD;90 días Fecha Factura;;IVA_EXE;14;;;;;;;
O;62;2012-12-31;GEL 27538;;32001502-2C;KM. 12,5 CARRETERA AL PUERTO DE LA LIBERTAD NUEVO CUSCATLAN EL SALVADOR CENTTRO AMERICA;El Salvador;;USD;60 días Fecha Factura;;IVA_EXE;2;;;;;;;
O;65;2012-12-31;GEL 27573;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;;;
O;67;2012-12-31;GEL 27606;;32000702-KC;RUA RODOLFO HUFENUSSLER, 755 CAIXA;CEP 89251-901;;USD;30 días Fecha Factura;;IVA_EXE;3;;;;;;;
O;74;2012-12-31;GEL 27685;;35001701-1C;VAT # 511256737 3, ELIAHU EITAN STREET, IND, ZONE;RISHON LEZION 75703;;USD;120 Días Fecha Factura;;IVA_EXE;7;;;;;;;
O;76;2012-12-31;GEL 4502135007;;32000701-1C;SAO BERNARDO DO CAMPO, SP RODOVIA ANCHIETA, KM 14, RUDGE RAMOS;RUDGE RAMOS;;USD;45 días Fecha Factura;;IVA_EXE;1;;;;;CFR;380;2013-4-29
O;80;2012-12-31;GEL 27744;;32000602-3C;NATANIEL AGUIRRE Nº 645;COCHABAMBA;;USD;30 días Fecha Factura;;IVA_EXE;14;;;;;;;
O;130;2013-1-28;GEL 513996;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;Marítimo;USD;30 días Fecha Factura;;IVA_EXE;5;;;;;FOB;210;2013-3-11
O;136;2013-1-9;GEL 2734;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;;26;2013-1-9
O;138;2013-1-9;GEL 2734 B;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;;27;2013-1-9
O;248;2013-2-4;GEL PO185/13;;35000801-2C;No.9, Beitucheng West Rd., Chaoyang District;BEIJING;;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;CIF;197;2013-3-8
O;258;2013-2-5;GEL LA-03-13;;32001402-6C;Benjamin Carrión E9-194 y Alfredo Luna Tobar Lotización La Armenia / Valle de los Chillos;QUITO;;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;CIF;192;2013-3-6
O;277;2013-2-8;GEL 2013I00108;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;;USD;90 días Fecha Factura;;IVA_EXE;14;;;;;FOB;307;2013-4-9
O;283;2013-2-12;GEL P337879;;32000202-8C;Av.Henry Ford 3200, B1610BKW;Buenos Aires;;USD;30 días Fecha Factura;;IVA_EXE;2;;;;;FOB;324;2013-4-11
O;353;2013-2-12;GEL 179/13;;35000803-9C;Room 1201, 12th Floor,Building 2,1126-LI-AN ROAD, Minhang District,SHANGHAI 201199;SHANGHAI 201199  USCC  913101126762546417;;USD;90 días Fecha Factura;;IVA_EXE;13;;;;;CIF;120;2013-2-12
O;368;2013-2-7;GEL SHS-9158-0;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;FOB;200;2013-3-7
O;443;2013-2-27;GEL 1535;;35001601-5C;153,Ghaem Magham Farahani Ave, Suite No.3;Tehran;;USD;30 días Fecha Factura;;IVA_EXE;6;;;;;FCA;164;2013-2-27
O;454;2013-2-27;GEL PROFORMA 152;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;CIF;167;2013-2-27
O;459;2013-2-28;GEL P337506;;32000202-8C;Av.Henry Ford 3200, B1610BKW;Buenos Aires;Terrestre;USD;30 días Fecha Factura;;IVA_EXE;2;Análisis S.S.;LOS ANDES;;VILLA MERCEDES;;186;2013-3-5
O;463;2013-3-1;GEL 514131;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;Marítimo;USD;30 días Fecha Factura;;IVA_EXE;5;Análisis S.;SAN ANTONIO;;BALTIMORE;FOB;425;2013-5-17
O;2;2013-1-8;GEL 9092/0;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;FOB;79;2013-1-30
O;5;2013-1-11;GEL PO178/13;;35000803-9C;Room 1201, 12th Floor,Building 2,1126-LI-AN ROAD, Minhang District,SHANGHAI 201199;SHANGHAI 201199  USCC  913101126762546417;;USD;90 días Fecha Factura;;IVA_EXE;13;;;;;;;
O;36;2013-1-2;GEL 2725;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;;1;2013-1-2
O;64;2012-12-31;GEL 27552;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;;USD;30 días Fecha Factura;;IVA_EXE;5;;;;;;;
O;69;2012-12-31;GEL P337507;;32000202-8C;Av.Henry Ford 3200, B1610BKW;Buenos Aires;;USD;30 días Fecha Factura;;IVA_EXE;2;;;;;;126;2013-2-12
O;70;2012-12-31;GEL 27609;;32000202-8C;Av.Henry Ford 3200, B1610BKW;Buenos Aires;;USD;30 días Fecha Factura;;IVA_EXE;2;;;;;;;
O;72;2012-12-31;GEL 27666;;35000803-9C;Room 1201, 12th Floor,Building 2,1126-LI-AN ROAD, Minhang District,SHANGHAI 201199;SHANGHAI 201199  USCC  913101126762546417;;USD;90 días Fecha Factura;;IVA_EXE;13;;;;;;;
O;78;2012-12-31;GEL IE 3066/12;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;;USD;60 días Fecha Factura;;IVA_EXE;2;;;;;;232;2013-3-18
O;81;2012-12-31;GEL 27778;;34501606-6C;631 MOOSEHEAD TRAIL;WALDO;;USD;30 días Fecha Factura;;IVA_EXE;5;;;;;;;
O;136;2013-1-9;GEL 2734;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;;23;2013-1-29
O;136;2013-1-9;GEL 2734;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;;24;2013-1-9
O;141;2013-1-29;GEL 001/13;;35001601-5C;153,Ghaem Magham Farahani Ave, Suite No.3;Tehran;Marítimo;EUR;30 días Fecha Factura;;IVA_EXE;6;;SAN ANTONIO;;BANDAR ABBAS PORT;CIF;;
O;143;2013-1-29;GEL 513997;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;;USD;30 días Fecha Factura;;IVA_EXE;5;;;;;FOB;271;2013-3-27
O;148;2013-1-9;GEL 2738;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;CIF;34;2013-1-9
O;232;2013-1-31;GEL PO CH 199/12;;35001601-5C;153,Ghaem Magham Farahani Ave, Suite No.3;Tehran;;EUR;30 días Fecha Factura;;IVA_EXE;6;;;;;CIF;85;2013-1-31
O;259;2013-2-5;GEL PO183/13;;35003701-2C;4F-1. NO.283, SEC 1, FUSING, S.RD,;TAIPEI;;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;CIF;118;2013-2-8
O;260;2013-2-5;GEL PC13/00066;;36001605-6C;C/CARDENAL BELLUGA, PARCELA 24/23;SAN GINES;;EUR;30 días Fecha Factura;;IVA_EXE;6;;;;;CIF;195;2013-3-7
O;275;2013-2-8;GEL 028333;;36504501-1C;Unit 2, Galaxy Office Park, 17 Galaxy Ave Linbro Business Park;Sandton 2065;;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;CPT;119;2013-2-12
O;276;2013-2-8;GEL CH 207/13;;36500201-0C;ROUTE BOUSMAIL LOTS BELHAOU ANE N 24 KOLEA TIPAZA ALGERIE;ALGERIE;;USD;30 días Fecha Factura;;IVA_EXE;6;;;;;CFR;211;2013-3-11
O;279;2013-2-11;GEL 4600002348;;32002802-7C;AV. PRODUCCION NACIONAL 188 CHORRILLOS LIMA PERU RUC 20417378911;LIMA;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;;FOB;225;2013-3-12
O;541;2013-3-15;GEL PO190/13;;35003702-0C;1F, NO.255, SEC 1,YUAN SHUI RD,YUANLIN, CHUNG HUA HSIEN, TAIWAN;Taiwan;Aéreo;USD;30 días Fecha Factura;;IVA_EXE;13;Análisis S. L.;;;;;231;2013-3-15
O;552;2013-3-18;GEL PO189/13;;35000801-2C;No.9, Beitucheng West Rd., Chaoyang District;BEIJING;;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;;302;2013-4-9
O;609;2013-3-26;GEL 2013/1;;35001701-1C;VAT # 511256737 3, ELIAHU EITAN STREET, IND, ZONE;RISHON LEZION 75703;;USD;120 Días Fecha Factura;;IVA_EXE;7;Análisis S.S.;;;;;339;2013-4-17
O;621;2013-4-5;GEL CP9971;;34501604-KC;118 S. CYPRESS STREET;CYPRESS STREET;;USD;30 días Fecha Factura;;IVA_EXE;5;;;;;;327;2013-4-15
O;623;2013-4-5;GEL IE774/13;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;;USD;90 días Fecha Factura;;IVA_EXE;3;;;;;;469;2013-10-17
O;646;2013-4-23;GEL AS-02/13;;35003401-3C;Nº 44, THALAWATHUGODA ROAD,;PITAKOTTE;;USD;30 días Fecha Factura;;IVA_EXE;-1;;;;;;396;2013-5-3
O;656;2013-4-26;GEL LA-17/13;;32003501-5C;ITUZAINGO NRO.1919 PAYSANDU;PAYSANDU;;USD;30 días Fecha Factura;;IVA_EXE;2;;;;;;414;2013-5-7
O;657;2013-4-30;GEL 201300514;;32000601-5C;AV. MARIO MERCADO No.100, Zoma Llojeta La Paz- Bolivia NIT 1020493029;Bolivia;;USD;30 días Fecha Factura;;IVA_EXE;14;;;;;;423;2013-5-15
O;689;2013-5-17;GEL LA-14/13;;32003602-KC;CALLE MURACHI, EDIF.ATLANTIDA, LOCAL B EL LLANITO;Caracas;;USD;90 días Fecha Factura;;IVA_EXE;13;;;;;;100084;2013-6-5
O;690;2013-5-17;GEL CH213/13;;35000203-0C;ABT Building 2nd floor, Al bustan District 31952 AL KHOBAR;;;USD;60 días Fecha Factura;;IVA_EXE;6;;;;;;100087;2013-6-12
O;693;2013-5-17;GEL PO196/13;;35000801-2C;No.9, Beitucheng West Rd., Chaoyang District;BEIJING;;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;;443;2013-6-17
O;697;2013-5-22;GEL 4600148455(4);;34501605-8C;CROCKETTS POINT PO BOX 1589 ROCKLAND, MAINE 04841-1589  USA;ROCKLAND, MAINE;;USD;30 días Fecha Factura;;IVA_EXE;1;;;;;;453;2013-6-28
O;697;2013-5-22;GEL 4600148455(4);;34501605-8C;CROCKETTS POINT PO BOX 1589 ROCKLAND, MAINE 04841-1589  USA;ROCKLAND, MAINE;;USD;30 días Fecha Factura;;IVA_EXE;1;;;;;;458;2013-7-22
O;698;2013-5-22;GEL PO/5017/DC;;35002402-6C;No.7,Jalan Semtec 2 Semtec Park 43500 Semenyih Selangor Darrul Ehsan;43500 Semenyih Selangor Darul Ehsan;;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;;440;2013-6-4
O;701;2013-5-23;GEL 1301130097;;32003502-3C;YAGUARON 1407 PISO 16;MONTEVIDEO;;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;;439;2013-6-3
O;704;2013-5-27;GEL CEM-IND 005/2013;;32002802-7C;AV. PRODUCCION NACIONAL 188 CHORRILLOS LIMA PERU RUC 20417378911;LIMA;;USD;90 días Fecha Factura;;IVA_EXE;14;;;;;;100113;2013-6-26
O;705;2013-5-27;GEL 46763;;32001001-2C;CARRERA 64C NO. 95-84 MEDELLIN APARTADO / PO BOX 2065 COLOMBIA NIT 890.903.310-3;;;USD;75 días Fecha Factura NO USAR;;IVA_EXE;2;;;;;;100102;2013-6-21
O;713;2013-6-3;GEL GELY-05-13;;32001401-8C;VICENTE DUQUE N73-85 Y JOSE DE LA REA, QUITO ECUADOR RUC 1791269489001;Quito;;USD;90 días Fecha Factura;;IVA_EXE;13;;;;;;441;2013-6-5
O;719;2013-6-4;GEL SHS-9270-0;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;Terrestre;USD;90 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;;EXW;452;2013-6-27
O;726;2013-6-11;GEL GELY-06-13;;32001401-8C;VICENTE DUQUE N73-85 Y JOSE DE LA REA, QUITO ECUADOR RUC 1791269489001;Quito;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;13;Análisis S.;;;GUAYAQUIL;FOB;100128;2013-6-28
O;539;2013-3-15;GEL PO186/13;;35000801-2C;No.9, Beitucheng West Rd., Chaoyang District;BEIJING;;USD;30 días Fecha Factura;;IVA_EXE;13;Análisis S. L.;;;;CIF;230;2013-3-15
O;553;2013-3-18;GEL IE591/13;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;;USD;90 días Fecha Factura;;IVA_EXE;3;;;;;;449;2013-6-20
O;558;2013-3-19;GEL 2013I00185;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;;USD;90 días Fecha Factura;;IVA_EXE;14;;;;;;307;2013-4-9
O;589;2013-3-22;GEL 01/2013;;32001901-KC;7º AV. 9-36 ZONA 2;GUATEMALA;Marítimo;USD;60 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;GUAYAQUI;;375;2013-4-22
O;615;2013-4-2;GEL 0295363;;36504501-1C;Unit 2, Galaxy Office Park, 17 Galaxy Ave Linbro Business Park;Sandton 2065;;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;;330;2013-4-16
O;630;2013-4-15;GEL CP9971;;34501604-KC;118 S. CYPRESS STREET;CYPRESS STREET;;USD;30 días Fecha Factura;;IVA_EXE;5;;;;;;328;2013-4-15
O;657;2013-4-30;GEL 201300514;;32000601-5C;AV. MARIO MERCADO No.100, Zoma Llojeta La Paz- Bolivia NIT 1020493029;Bolivia;;USD;30 días Fecha Factura;;IVA_EXE;14;;;;;;424;2013-5-15
O;671;2013-5-9;GEL 2013I00312;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;;USD;90 días Fecha Factura;;IVA_EXE;14;;;;;;100181;2013-7-19
O;678;2013-5-9;GEL 16589647;;32003602-KC;CALLE MURACHI, EDIF.ATLANTIDA, LOCAL B EL LLANITO;Caracas;;USD;90 días Fecha Factura;;IVA_EXE;13;;;;;;100077;2013-6-7
O;680;2013-5-9;GEL 11643459  IE 988/13;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;;USD;90 días Fecha Factura;;IVA_EXE;3;;;;;;461;2013-8-5
O;691;2013-5-17;GEL 4500943776;;96627500-6C;LONGITUDINAL SUR KM 1078.6;PARGUA;;CLP;60 días Fecha Factura;;IVA;1;;;;;;30355;2013-6-21
O;692;2013-5-17;GEL CH212/13;;35001601-5C;153,Ghaem Magham Farahani Ave, Suite No.3;Tehran;Marítimo;USD;30 días Fecha Factura;;IVA_EXE;6;Análisis S.;;;;CFR;100134;2013-6-28
O;692;2013-5-17;GEL CH212/13;;35001601-5C;153,Ghaem Magham Farahani Ave, Suite No.3;Tehran;Marítimo;USD;30 días Fecha Factura;;IVA_EXE;6;Análisis S.;;;;CFR;100162;2013-7-9
O;694;2013-5-17;GEL 4500943776;;96627500-6C;LONGITUDINAL SUR KM 1078.6;PARGUA;;CLP;60 días Fecha Factura;;IVA;1;;;;;;30402;2013-7-5
O;729;2013-6-12;GEL 83990;;32003603-8C;Calle Este Dos con Sur Veinticinco, Edif. José Vargas;Caracas;Aéreo;USD;Contado;;IVA_EXE;13;Análisis S.;SANTIAGO;;CARACAS;CIP;445;2013-6-13
O;732;2013-6-12;GEL 4515;;32000705-4C;EST.PARTICULAR FUKUTARO YIDA,1173-SAO;SAO PAULO;;USD;60 días Fecha Factura;;IVA_EXE;3;;;;;;450;2013-6-26
O;734;2013-6-12;GEL P260181-00;;32001101-9C;200M. Este del Banco Nacional;SAN JOSE DE COSTA RICA;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;2;Análisis S.S.;;;SAN JOSE;FOB;100195;2013-7-24
O;735;2013-6-12;GEL PO199/13;;35000803-9C;Room 1201, 12th Floor,Building 2,1126-LI-AN ROAD, Minhang District,SHANGHAI 201199;SHANGHAI 201199  USCC  913101126762546417;Marítimo;USD;90 días Fecha Factura;;IVA_EXE;13;Análisis S. L.;;;SHANGHAI;CIF;100180;2013-7-19
O;756;2013-7-2;GEL 514562;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;Aéreo;USD;45 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;;FOB;460;2013-8-2
O;762;2013-7-5;GEL SHS-9317-0;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;Terrestre;USD;90 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;;FCA;459;2013-7-23
O;504;2013-3-8;GEL GELY-03-13;;32001401-8C;VICENTE DUQUE N73-85 Y JOSE DE LA REA, QUITO ECUADOR RUC 1791269489001;Quito;;USD;90 días Fecha Factura;;IVA_EXE;13;;;;;;274;2013-3-28
