Tipo;Nro;Fecha;OC;RCO;Rut;Direccion;Direccion_alterna;Job;Condicion_venta;Localizacion;Cod_Impto;Vendedor;Certificados;Puerto_Embarque;Nave;Puerto_Destino;Clausula;Factura;Fecha_factura;EstadoOV;ETD_OV;ETA_OV;MedioDeEnvioFact;GtoAdicFlete
OV;609;2013-3-26;GEL 2013/1;;35001701-1C;VAT # 511256737 3, ELIAHU EITAN STREET, IND, ZONE;RISHON LEZION 75703;USD;120 Días Fecha Factura;;IVA_EXE;7;Análisis S.S.;;;;;339;2013-4-17;Cerrada;;;;
OV;143;2013-1-29;GEL 513997;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;USD;30 días Fecha Factura;;IVA_EXE;5;;;;;FOB;271;2013-3-27;Cerrada;;;;
OV;258;2013-2-5;GEL LA-03-13;;32001402-6C;Benjamin Carrión E9-194 y Alfredo Luna Tobar Lotización La Armenia / Valle de los Chillos;QUITO;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;CIF;192;2013-3-6;Cerrada;;;;
OV;281;2013-2-11;GEL 130208;;34501606-6C;631 MOOSEHEAD TRAIL;WALDO;USD;30 días Fecha Factura;;IVA_EXE;5;;;;;FOB;381;2013-4-29;Cerrada;;;;
OV;284;2013-2-12;GEL P337881 / P338522;;32000202-8C;Av.Henry Ford 3200, B1610BKW;Buenos Aires;USD;30 días Fecha Factura;;IVA_EXE;2;;;;;FOB;429;2013-5-23;Cerrada;;;;
OV;340;2013-2-14;GEL IE 308I13/ PO11293439;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;CPT;376;2013-4-22;Cerrada;;;;
OV;341;2013-2-14;GEL IE 309I13/ PO 11293452;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;CPT;426;2013-5-20;Cerrada;;;;
OV;369;2013-2-20;GEL 7100000111;;32000702-KC;RUA RODOLFO HUFENUSSLER, 755 CAIXA;CEP 89251-901;USD;30 días Fecha Factura;;IVA_EXE;3;;;;;FCA;187;2013-3-5;Cerrada;;;;
OV;370;2013-2-20;GEL PO187/13;;35000801-2C;No.9, Beitucheng West Rd., Chaoyang District;BEIJING;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;CIF;303;2013-4-9;Cerrada;;;;
OV;385;2013-2-21;GEL IE 3065I12/ 11112159;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;CPT;173;2013-3-1;Cerrada;;;;
OV;436;2013-2-27;GEL APR;;36001601-3C;CALLE E SECTOR C. PI ZONA FRANCA 08040 BARCELONA-ESPAÑA;BARCELONA;EUR;60 días Fecha Factura;;IVA_EXE;1;;;;;FOB;162;2013-2-27;Cerrada;;;;
OV;452;2013-2-27;GEL PROFORMA 202;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;CIF;166;2013-2-27;Cerrada;;;;
OV;539;2013-3-15;GEL PO186/13;;35000801-2C;No.9, Beitucheng West Rd., Chaoyang District;BEIJING;USD;30 días Fecha Factura;;IVA_EXE;13;Análisis S. L.;;;;CIF;230;2013-3-15;Cerrada;;;;
OV;553;2013-3-18;GEL IE591/13;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;USD;90 días Fecha Factura;;IVA_EXE;3;;;;;;449;2013-6-20;Cerrada;;;;
OV;611;2013-3-28;GEL 4500899675;;96627500-6C;LONGITUDINAL SUR KM 1078.6;PARGUA;USD;60 días Fecha Factura;;IVA_EXE;1;;;;;;30152;2013-4-25;Cerrada;;;;
OV;614;2013-4-2;GEL CH208/13;;36004701-6C;ISTANBUL TRAKYA SERBEST BOLGE SB FERHATPASA SB MAHALLESI, ACELYA SOK No8 B1. 34540 CATALCA/ISTANBUL;;EUR;90 días Fecha Factura;;IVA_EXE;7;;;;;;322;2013-4-11;Cerrada;;;;
OV;630;2013-4-15;GEL CP9971;;34501604-KC;118 S. CYPRESS STREET;CYPRESS STREET;USD;30 días Fecha Factura;;IVA_EXE;5;;;;;;328;2013-4-15;Cerrada;;;;
OV;637;2013-4-19;GEL 514307;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;USD;45 días Fecha Factura;;IVA_EXE;3;;;;;;444;2013-6-14;Cerrada;;;;
OV;642;2013-4-22;GEL P222344-00;;32001101-9C;200M. Este del Banco Nacional;SAN JOSE DE COSTA RICA;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;;434;2013-5-29;Cerrada;;;;
OV;4;2013-1-7;GEL 2013i00020;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;USD;90 días Fecha Factura;;IVA_EXE;14;;;;;FOB;82;2013-1-31;Cerrada;;;;
OV;77;2012-12-31;GEL 4502104188;;32000701-1C;SAO BERNARDO DO CAMPO, SP RODOVIA ANCHIETA, KM 14, RUDGE RAMOS;RUDGE RAMOS;USD;45 días Fecha Factura;;IVA_EXE;1;;;;;CFR;181;2013-3-5;Cerrada;;;;
OV;248;2013-2-4;GEL PO185/13;;35000801-2C;No.9, Beitucheng West Rd., Chaoyang District;BEIJING;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;CIF;197;2013-3-8;Cerrada;;;;
OV;263;2013-2-6;GEL CH 200/13;;35001601-5C;153,Ghaem Magham Farahani Ave, Suite No.3;Tehran;EUR;30 días Fecha Factura;;IVA_EXE;6;;;;;CIF;172;2013-3-1;Cerrada;;;;
OV;277;2013-2-8;GEL 2013I00108;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;USD;90 días Fecha Factura;;IVA_EXE;14;;;;;FOB;307;2013-4-9;Cerrada;;;;
OV;282;2013-2-11;GEL 4600002349;;32002802-7C;AV. PRODUCCION NACIONAL 188 CHORRILLOS LIMA PERU RUC 20417378911;LIMA;USD;90 días Fecha Factura;;IVA_EXE;14;;;;;FOB;276;2013-3-28;Cerrada;;;;
OV;284;2013-2-12;GEL P337881 / P338522;;32000202-8C;Av.Henry Ford 3200, B1610BKW;Buenos Aires;USD;30 días Fecha Factura;;IVA_EXE;2;;;;;FOB;428;2013-5-23;Cerrada;;;;
OV;353;2013-2-12;GEL 179/13;;35000803-9C;Room 1201, 12th Floor,Building 2,1126-LI-AN ROAD, Minhang District,SHANGHAI 201199;SHANGHAI 201199  USCC  913101126762546417;USD;90 días Fecha Factura;;IVA_EXE;13;;;;;CIF;120;2013-2-12;Cerrada;;;;
OV;368;2013-2-7;GEL SHS-9158-0;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;FOB;200;2013-3-7;Cerrada;;;;
OV;417;2013-2-25;GELY 02-13;;32001401-8C;VICENTE DUQUE N73-85 Y JOSE DE LA REA, QUITO ECUADOR RUC 1791269489001;Quito;USD;90 días Fecha Factura;;IVA_EXE;13;;;;;CIF;194;2013-3-6;Cerrada;;;;
OV;442;2013-2-27;GEL 1534;;36003801-7C;Rua de Recarei, 860 Codigo Postal 4465-727;Portugal;EUR;45 días Fecha Factura;;IVA_EXE;6;;;;;FCA;163;2013-2-27;Cerrada;;;;
OV;455;2013-2-27;GEL APR 1532;;36001905-5C;13 RUE DES ALOUETTES. 94320 THIAIS;THIAIS;EUR;60 días Fecha Factura;;IVA_EXE;7;;;;;DDP;168;2013-2-27;Cerrada;;;;
OV;457;2013-2-28;GEL PROFORMA 217;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;CIF;170;2013-2-28;Cerrada;;;;
OV;460;2013-3-1;GEL PO188/13;;35000803-9C;Room 1201, 12th Floor,Building 2,1126-LI-AN ROAD, Minhang District,SHANGHAI 201199;SHANGHAI 201199  USCC  913101126762546417;USD;90 días Fecha Factura;;IVA_EXE;13;Análisis S. L.;;;;;304;2013-4-9;Cerrada;;;Marítimo;
OV;463;2013-3-1;GEL 514131;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;USD;30 días Fecha Factura;;IVA_EXE;5;Análisis S.;SAN ANTONIO;;BALTIMORE;FOB;425;2013-5-17;Cerrada;;;Marítimo;
OV;504;2013-3-8;GEL GELY-03-13;;32001401-8C;VICENTE DUQUE N73-85 Y JOSE DE LA REA, QUITO ECUADOR RUC 1791269489001;Quito;USD;90 días Fecha Factura;;IVA_EXE;13;;;;;;274;2013-3-28;Cerrada;;;;
OV;541;2013-3-15;GEL PO190/13;;35003702-0C;1F, NO.255, SEC 1,YUAN SHUI RD,YUANLIN, CHUNG HUA HSIEN, TAIWAN;Taiwan;USD;30 días Fecha Factura;;IVA_EXE;13;Análisis S. L.;;;;;231;2013-3-15;Cerrada;;;Aéreo;
OV;558;2013-3-19;GEL 2013I00185;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;USD;90 días Fecha Factura;;IVA_EXE;14;;;;;;307;2013-4-9;Cerrada;;;;
OV;615;2013-4-2;GEL 0295363;;36504501-1C;Unit 2, Galaxy Office Park, 17 Galaxy Ave Linbro Business Park;Sandton 2065;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;;330;2013-4-16;Cerrada;;;;
OV;616;2013-4-2;GEL PO193/13;;35003701-2C;4F-1. NO.283, SEC 1, FUSING, S.RD,;TAIPEI;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;;329;2013-4-16;Cerrada;;;;
OV;620;2013-4-5;GEL CH210/13   04/2013;;35001501-9C;ALJAMAILA STREET. BAGHDAD. Phone:009647504453904 Fax: 00964662560984 Email: info@burgaliraq.com;BAGHDAD;USD;30 días Fecha Factura;;IVA_EXE;6;;;;;;100133;2013-6-28;Cerrada;;;Marítimo;
OV;620;2013-4-5;GEL CH210/13   04/2013;;35001501-9C;ALJAMAILA STREET. BAGHDAD. Phone:009647504453904 Fax: 00964662560984 Email: info@burgaliraq.com;BAGHDAD;USD;30 días Fecha Factura;;IVA_EXE;6;;;;;;100211;2013-7-29;Cerrada;;;Marítimo;
OV;641;2013-4-22;GEL 1000414;;32001502-2C;KM. 12,5 CARRETERA AL PUERTO DE LA LIBERTAD NUEVO CUSCATLAN EL SALVADOR CENTTRO AMERICA;El Salvador;USD;60 días Fecha Factura;;IVA_EXE;2;;;;;;431;2013-5-24;Cerrada;;;;
OV;656;2013-4-26;GEL LA-17/13;;32003501-5C;ITUZAINGO NRO.1919 PAYSANDU;PAYSANDU;USD;30 días Fecha Factura;;IVA_EXE;2;;;;;;414;2013-5-7;Cerrada;;;;
OV;668;2013-5-6;GEL 2013I00297;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;USD;90 días Fecha Factura;;IVA_EXE;14;;;;;;436;2013-5-29;Cerrada;;;;
OV;671;2013-5-9;GEL 2013I00312;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;USD;90 días Fecha Factura;;IVA_EXE;14;;;;;;100181;2013-7-19;Cerrada;;;Marítimo;
OV;677;2013-5-9;GEL 4388;;32000705-4C;EST.PARTICULAR FUKUTARO YIDA,1173-SAO;SAO PAULO;USD;60 días Fecha Factura;;IVA_EXE;3;;;;;;430;2013-5-23;Cerrada;;;;
OV;678;2013-5-9;GEL 16589647;;32003602-KC;CALLE MURACHI, EDIF.ATLANTIDA, LOCAL B EL LLANITO;Caracas;USD;90 días Fecha Factura;;IVA_EXE;13;;;;;;100077;2013-6-7;Cerrada;;;;
OV;692;2013-5-17;GEL CH212/13;;35001601-5C;153,Ghaem Magham Farahani Ave, Suite No.3;Tehran;USD;30 días Fecha Factura;;IVA_EXE;6;Análisis S.;;;;CFR;100134;2013-6-28;Cerrada;;;Marítimo;
OV;692;2013-5-17;GEL CH212/13;;35001601-5C;153,Ghaem Magham Farahani Ave, Suite No.3;Tehran;USD;30 días Fecha Factura;;IVA_EXE;6;Análisis S.;;;;CFR;100162;2013-7-9;Cerrada;;;Marítimo;
OV;694;2013-5-17;GEL 4500943776;;96627500-6C;LONGITUDINAL SUR KM 1078.6;PARGUA;CLP;60 días Fecha Factura;;IVA;1;;;;;;30378;2013-6-28;Cerrada;;;;
OV;696;2013-5-22;GEL 4600148455(3);;34501605-8C;CROCKETTS POINT PO BOX 1589 ROCKLAND, MAINE 04841-1589  USA;ROCKLAND, MAINE;USD;30 días Fecha Factura;;IVA_EXE;1;;;;;;442;2013-6-14;Cerrada;;;;
OV;698;2013-5-22;GEL PO/5017/DC;;35002402-6C;No.7,Jalan Semtec 2 Semtec Park 43500 Semenyih Selangor Darrul Ehsan;43500 Semenyih Selangor Darul Ehsan;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;;440;2013-6-4;Cerrada;;;;
OV;705;2013-5-27;GEL 46763;;32001001-2C;CARRERA 64C NO. 95-84 MEDELLIN APARTADO / PO BOX 2065 COLOMBIA NIT 890.903.310-3;;USD;75 días Fecha Factura NO USAR;;IVA_EXE;2;;;;;;100102;2013-6-21;Cerrada;;;Marítimo;
OV;720;2013-6-4;GEL P338702;;32000202-8C;Av.Henry Ford 3200, B1610BKW;Buenos Aires;USD;30 días Fecha Factura;;IVA_EXE;2;Análisis S.S.;;;;FOB;447;2013-6-19;Cerrada;;;Terrestre;
OV;732;2013-6-12;GEL 4515;;32000705-4C;EST.PARTICULAR FUKUTARO YIDA,1173-SAO;SAO PAULO;USD;60 días Fecha Factura;;IVA_EXE;3;;;;;;450;2013-6-26;Cerrada;;;;
OV;16;2013-1-31;GEL 224;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;CIP;80;2013-1-31;Cerrada;;;;
OV;76;2012-12-31;GEL 4502135007;;32000701-1C;SAO BERNARDO DO CAMPO, SP RODOVIA ANCHIETA, KM 14, RUDGE RAMOS;RUDGE RAMOS;USD;45 días Fecha Factura;;IVA_EXE;1;;;;;CFR;380;2013-4-29;Cerrada;;;;
OV;78;2012-12-31;GEL IE 3066/12;;32000704-6C;RUA BERTOLINO SERPA,501-BLOCO 02 CEP88311-547 CNPJ 01.838.723/0171-00 ITAJAÍ-SC-BR;CNPJ01.838.723/0171-00;USD;60 días Fecha Factura;;IVA_EXE;2;;;;;;232;2013-3-18;Cerrada;;;;
OV;130;2013-1-28;GEL 513996;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;USD;30 días Fecha Factura;;IVA_EXE;5;;;;;FOB;210;2013-3-11;Cerrada;;;Marítimo;
OV;232;2013-1-31;GEL PO CH 199/12;;35001601-5C;153,Ghaem Magham Farahani Ave, Suite No.3;Tehran;EUR;30 días Fecha Factura;;IVA_EXE;6;;;;;CIF;85;2013-1-31;Cerrada;;;;
OV;259;2013-2-5;GEL PO183/13;;35003701-2C;4F-1. NO.283, SEC 1, FUSING, S.RD,;TAIPEI;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;CIF;118;2013-2-8;Cerrada;;;;
OV;260;2013-2-5;GEL PC13/00066;;36001605-6C;C/CARDENAL BELLUGA, PARCELA 24/23;SAN GINES;EUR;30 días Fecha Factura;;IVA_EXE;6;;;;;CIF;195;2013-3-7;Cerrada;;;;
OV;283;2013-2-12;GEL P337879;;32000202-8C;Av.Henry Ford 3200, B1610BKW;Buenos Aires;USD;30 días Fecha Factura;;IVA_EXE;2;;;;;FOB;324;2013-4-11;Cerrada;;;;
OV;348;2013-2-15;GEL 4600148241;;34501605-8C;CROCKETTS POINT PO BOX 1589 ROCKLAND, MAINE 04841-1589  USA;ROCKLAND, MAINE;USD;30 días Fecha Factura;;IVA_EXE;1;;;;;;275;2013-3-28;Cerrada;;;;
OV;368;2013-2-7;GEL SHS-9158-0;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;FOB;199;2013-3-7;Cerrada;;;;
OV;376;2013-2-20;GEL LA-09/13;;32001403-4C;AV. OCTAVIO CHACON MOSCOSO 4-103;CUENCA;USD;60 días Fecha Factura;;IVA_EXE;13;;;;;CFR;272;2013-3-27;Cerrada;;;;
OV;443;2013-2-27;GEL 1535;;35001601-5C;153,Ghaem Magham Farahani Ave, Suite No.3;Tehran;USD;30 días Fecha Factura;;IVA_EXE;6;;;;;FCA;164;2013-2-27;Cerrada;;;;
OV;454;2013-2-27;GEL PROFORMA 152;;33002405-4C;Darwin, No. 68, Despacho 1301, Col.Anzures C.P. 11590;Ciudad de México;USD;60 días Fecha Factura;;IVA_EXE;5;;;;;CIF;167;2013-2-27;Cerrada;;;;
OV;458;2013-2-28;GEL APR 1536;;36001603-KC;Recinte Industrial Colonia Guell Edifici filatures planta 3,of. 9-D 08690 SANTA COLOMA DE CERVELLO;SANTA COLOMA DE CERVELLO;EUR;30 días Fecha Factura;;IVA_EXE;6;;;;;FCA;171;2013-2-28;Cerrada;;;;
OV;459;2013-2-28;GEL P337506;;32000202-8C;Av.Henry Ford 3200, B1610BKW;Buenos Aires;USD;30 días Fecha Factura;;IVA_EXE;2;Análisis S.S.;LOS ANDES;;VILLA MERCEDES;;186;2013-3-5;Cerrada;;;Terrestre;
OV;462;2013-3-1;GEL 4162;;32000705-4C;EST.PARTICULAR FUKUTARO YIDA,1173-SAO;SAO PAULO;USD;60 días Fecha Factura;;IVA_EXE;3;;;;;;229;2013-3-15;Cerrada;;;;
OV;506;2013-3-8;GEL SHS-9169-0;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;;269;2013-3-22;Cerrada;;;;
OV;607;2013-3-26;GEL P201391;;32001101-9C;200M. Este del Banco Nacional;SAN JOSE DE COSTA RICA;USD;90 días Fecha Factura;;IVA_EXE;2;;;;;;382;2013-4-29;Cerrada;;;;
OV;608;2013-3-26;GEL PO192/13;;35000803-9C;Room 1201, 12th Floor,Building 2,1126-LI-AN ROAD, Minhang District,SHANGHAI 201199;SHANGHAI 201199  USCC  913101126762546417;USD;90 días Fecha Factura;;IVA_EXE;13;;;;;;350;2013-4-18;Cerrada;;;;
OV;657;2013-4-30;GEL 201300514;;32000601-5C;AV. MARIO MERCADO No.100, Zoma Llojeta La Paz- Bolivia NIT 1020493029;Bolivia;USD;30 días Fecha Factura;;IVA_EXE;14;;;;;;424;2013-5-15;Cerrada;;;;
OV;674;2013-5-9;GEL 2013I00311;;32002803-5C;AV. LOS ROSALES 280 SANTA ANITA LIMA 43 PERU;LIMA;USD;90 días Fecha Factura;;IVA_EXE;14;Análisis S.;;;CALLAO;FOB;;;Cerrada;;;;
OV;689;2013-5-17;GEL LA-14/13;;32003602-KC;CALLE MURACHI, EDIF.ATLANTIDA, LOCAL B EL LLANITO;Caracas;USD;90 días Fecha Factura;;IVA_EXE;13;;;;;;100084;2013-6-5;Cerrada;;;Marítimo;
OV;718;2013-6-4;GEL PO198/13;;35000801-2C;No.9, Beitucheng West Rd., Chaoyang District;BEIJING;USD;30 días Fecha Factura;;IVA_EXE;13;;;;;;457;2013-7-19;Cerrada;;;;
OV;723;2013-6-6;GEL 4514;;32000705-4C;EST.PARTICULAR FUKUTARO YIDA,1173-SAO;SAO PAULO;USD;60 días Fecha Factura;;IVA_EXE;3;;;;;;446;2013-6-13;Cerrada;;;;
OV;774;2013-7-10;GEL PO200/13;;35000803-9C;Room 1201, 12th Floor,Building 2,1126-LI-AN ROAD, Minhang District,SHANGHAI 201199;SHANGHAI 201199  USCC  913101126762546417;USD;90 días Fecha Factura;;IVA_EXE;13;Análisis S. L.;;;SHANGHAI;CIF;100256;2013-8-12;Cerrada;;;Marítimo;
OV;781;2013-7-15;GEL 514673;;34501608-2C;4609 RICHLYNN  DRIVE;BELCAMP, MD 21017;USD;45 días Fecha Factura;;IVA_EXE;3;Análisis S.;;;;FOB;100279;2013-8-20;Cerrada;;;Marítimo;
OV;784;2013-7-17;GEL PR00167;;36001605-6C;C/CARDENAL BELLUGA, PARCELA 24/23;SAN GINES;USD;30 días Fecha Factura;;IVA_EXE;6;Análisis S.;;;;FOB;100218;2013-7-31;Cerrada;;;Marítimo;
OV;784;2013-7-17;GEL PR00167;;36001605-6C;C/CARDENAL BELLUGA, PARCELA 24/23;SAN GINES;USD;30 días Fecha Factura;;IVA_EXE;6;Análisis S.;;;;FOB;100233;2013-8-7;Cerrada;;;Marítimo;
OV;785;2013-7-17;GEL CP10085;;34501604-KC;118 S. CYPRESS STREET;CYPRESS STREET;USD;30 días Fecha Factura;;IVA_EXE;5;Análisis S.;;;;CIF;100260;2013-8-13;Cerrada;;;Marítimo;
OV;789;2013-7-23;GEL GELY-08-13;;32001401-8C;VICENTE DUQUE N73-85 Y JOSE DE LA REA, QUITO ECUADOR RUC 1791269489001;Quito;USD;90 días Fecha Factura;;IVA_EXE;13;Análisis S.;;;;FOB;100246;2013-8-9;Cerrada;;;Marítimo;
OV;793;2013-7-26;GEL SHS-9356-1;;32000203-6C;BARTOLOME MITRE 2364-66 1039;BUENOS AIRES;USD;90 días Fecha Factura;;IVA_EXE;2;Análisis S.;;;;FCA;100271;2013-8-19;Cerrada;;;Terrestre;
OV;795;2013-7-26;GEL 105/12   LA-27/13;;32001403-4C;AV. OCTAVIO CHACON MOSCOSO 4-103;CUENCA;USD;60 días Fecha Factura;;IVA_EXE;13;;;;;;100293;2013-8-23;Cerrada;;;Marítimo;
OV;802;2013-8-2;GEL 4600148456(1);;34501605-8C;CROCKETTS POINT PO BOX 1589 ROCKLAND, MAINE 04841-1589  USA;ROCKLAND, MAINE;USD;30 días Fecha Factura;;IVA_EXE;1;Análisis S.;VALPARAISO;;NEW YORK;FOB;;;Cerrada;;;;
OV;803;2013-8-2;GEL 4600148456-2;;34501605-8C;CROCKETTS POINT PO BOX 1589 ROCKLAND, MAINE 04841-1589  USA;ROCKLAND, MAINE;USD;30 días Fecha Factura;;IVA_EXE;1;;;;;;100329;2013-8-30;Cerrada;;;Marítimo;
OV;804;2013-8-2;GEL 4600148456-3;;34501605-8C;CROCKETTS POINT PO BOX 1589 ROCKLAND, MAINE 04841-1589  USA;ROCKLAND, MAINE;USD;30 días Fecha Factura;;IVA_EXE;1;Análisis S.;;;NEW YORK;FOB;470;2013-10-25;Cerrada;;;Marítimo;
